generation,sigmoid,stability_weight,amplification_weight
0.0,0.0019267346633274757,2.9957611837406795,0.5048168366583187
1.0,0.001975413831710911,2.995654089570236,0.5049385345792773
2.0,0.002025320389049882,2.9955442951440903,0.5050633009726248
3.0,0.002076485154851816,2.995431732659326,0.5051912128871295
4.0,0.0021289397159641892,2.9953163326248786,0.5053223492899105
5.0,0.0021827164453451808,2.9951980238202407,0.505456791113363
6.0,0.0022378485212763317,2.995076733253192,0.5055946213031909
7.0,0.0022943699470266963,2.9949523861165415,0.5057359248675667
8.0,0.0023523155709781456,2.9948249057438483,0.5058807889274454
9.0,0.0024117211072216932,2.994694213564112,0.5060293027680542
