theta_x,theta_y,motor velocity_x,motor velocity_y
73.5091922283,-3.1622,73.5092091560,-26.42
73.5574016571,-3.1714,73.5574412346,-27.26
73.6105778217,-3.1822,73.6106171608,-31.19
73.6597340107,-3.1914,73.6597714424,-30.06
73.7130017281,-3.2006,73.7130467892,-28.08
73.7621281147,-3.2098,73.7621865273,-26.82
73.8112239838,-3.2174,73.8112521172,-30.13
73.8646969795,-3.2251,73.8647377491,-30.39
73.9138164520,-3.2358,73.9138860703,-29.15
73.9630970955,-3.2435,73.9631557465,-30.32
74.0162544250,-3.2543,74.0163741112,-28.8
74.0725257397,-3.2635,74.0725426674,-29.01
74.1179063320,-3.2711,74.117923975,-24.54
74.1651768684,-3.2773,74.1652135849,3.02
74.2168068886,-3.2865,74.2168278694,23.59
74.2659814358,-3.2957,74.2660176754,23.92
74.3191196918,-3.3049,74.3191530704,23.73
74.3682372570,-3.3125,74.3682806492,22.56
74.4175546169,-3.3217,74.4175846577,20.67
74.4707849026,-3.331,74.4708440304,19.21
74.5199825764,-3.3371,74.5200545788,18.14
74.5690717697,-3.3448,74.5690999031,19.39
74.6183831692,-3.3509,74.6184513569,17.66
74.6715164185,-3.357,74.6715993881,17.94
74.7223975658,-3.3662,74.7224254608,18.38
74.7708721161,-3.3754,74.7709000111,18.58
74.8228619099,-3.3816,74.8228800297,17.12
74.8721907139,-3.3892,74.8722288609,16.17
74.9213371277,-3.3984,74.9213750362,15.59
74.9745938778,-3.4046,74.9746191502,14.17
75.0236289501,-3.4092,75.0236713886,14.12
75.0770022869,-3.4184,75.0770337582,13.56
75.1261737347,-3.4261,75.1262278557,13.57
75.1754407883,-3.4307,75.1754930019,12.01
75.2287068367,-3.4383,75.2287547588,10.91
75.283125639,-3.4429,75.2831518650,10.03
75.3303694725,-3.4491,75.3303968906,8.54
75.3808772564,-3.4567,75.3809056282,6.89
75.428996563,-3.4644,75.4290192127,5.99
75.4824490547,-3.469,75.4824855328,3.39
75.5316004753,-3.4751,75.5316324234,0.84
75.5847594738,-3.4797,75.5848009586,-4.87
75.6340382099,-3.4874,75.6340701580,-7.2
75.6831820011,-3.4936,75.6832118034,-2.7
75.7363233566,-3.4997,75.7363684177,-8.96
75.7856092453,-3.5043,75.7856457233,-12.72
75.8347220421,-3.512,75.8347766399,-12.72
75.8924925327,-3.5166,75.8925182819,-13.87
75.9411168098,-3.5227,75.9411337376,-16.24
75.9887897968,-3.5273000000,75.988806963,-18.22
76.0352978706,-3.5334000000,76.0353133678,-21.75
76.0845491886,-3.5380000000,76.0845832825,-25.68
76.133692503,-3.5442,76.1337273121,-27.33
76.1869089603,-3.5488,76.1869339943,-29.08
76.2360711098,-3.5534,76.2360920906,-29.29
76.2893033028,-2.883,76.2893493176,-29.92
76.3384819031,-2.8846,76.3385105133,-28.17
76.3876357079,-2.883,76.3876762390,-28.55
