time_s,motorvelocity_rads
2.5,5.575023123787435
2.5083333333333333,-0.6748930973105525
2.5166666666666666,4.714155035763921
2.525,4.148121882494837
2.533333333333333,2.7335709502571266
2.5416666666666665,7.523810906431825
2.55,2.730540722560028
2.558333333333333,7.521313037327209
2.566666666666667,5.489835759437089
2.575,9.795847663795936
2.5833333333333335,2.8044055786889217
2.591666666666667,3.0167965880150938
2.6,-2.783683480433538
2.6083333333333334,-7.565119531853487
2.6166666666666667,-11.506539973615814
2.625,-4.214558839546052
2.6333333333333333,-4.522881548268773
2.6416666666666666,1.5421915969204676
2.65,-3.9992258808592656
2.658333333333333,-2.6554474934564922
2.6666666666666665,-0.8672660524736484
2.675,-5.660791291083776
2.683333333333333,-1.4837883684853823
2.691666666666667,-3.815297438689852
2.7,1.4988901239872958
2.7083333333333335,-0.11807850551469579
2.716666666666667,-2.3644090746331194
2.725,3.3214577920716906
2.7333333333333334,-1.6422887550015783
2.7416666666666667,-2.1230052717879926
2.75,1.4694141428257348
2.7583333333333333,3.3702065438451463
2.7666666666666666,0.21562564449867283
2.775,0.5342905032111569
2.783333333333333,-3.162358230182977
2.7916666666666665,2.6636945010124693
2.8,-3.074751638362323
2.808333333333333,2.2499357873014185
2.816666666666667,-3.415820102865519
2.825,-4.747482908936044
2.8333333333333335,-0.33249636329756527
2.841666666666667,-3.629325314748278
2.85,2.2787654560680632
2.8583333333333334,4.022652660385279
2.8666666666666667,-1.7447296591195798
2.875,3.8322702528843937
2.8833333333333333,-2.109487765040466
2.8916666666666666,3.5315938369469384
2.9,-2.3593272036826614
2.908333333333333,3.3256468661973573
2.9166666666666665,8.011869325088067
2.925,3.198265602387025
2.933333333333333,2.8872938999880158
2.941666666666667,-2.1376313513798704
2.95,3.2219619565034656
2.9583333333333335,2.987410924241494
2.966666666666667,7.733055587661282
2.975,9.350846628131936
2.9833333333333334,2.437583527800961
2.9916666666666667,7.279823354401964
3.0,2.6464085007225115
3.0083333333333333,4.391113701070769
3.0166666666666666,-1.6508101125563703
3.025,3.9096897596443663
3.033333333333333,-2.0476561946718705
3.0416666666666665,-5.852677452474232
3.05,0.4460178315826022
3.058333333333333,2.3252373041328855
3.066666666666667,1.3081506114037769
3.075,-3.0175935741651942
3.0833333333333335,-7.757935668063173
3.091666666666667,-1.1245194708095907
3.1,3.604141192237007
3.1083333333333334,-2.2995251638642786
3.1166666666666667,2.2524082599339152
3.125,-3.413782000908152
3.1333333333333333,-6.325206041041128
3.1416666666666666,-5.896407686312825
3.15,0.40997024342688704
3.158333333333333,-4.932535526595124
3.1666666666666665,-9.336455442233147
3.175,-2.6128483018631092
3.183333333333333,-7.024610522934958
3.191666666666667,-0.520026869343484
3.2,4.84181394620083
3.2083333333333335,1.9163149066954137
3.216666666666667,0.8316743947393328
3.225,-4.584917500444735
3.2333333333333334,-3.1311903205730145
3.2416666666666667,-7.851575431011902
3.25,-11.742670526124426
3.2583333333333333,-6.516095941306512
3.2666666666666666,-8.779620530833277
3.275,-1.9667119752906155
3.283333333333333,-1.9712339691661158
