time,theta,motorvelocity
47.5,282.3020352,13.73
47.5,281.9525309,28.12
47.6,281.6889704,28.12
47.6,281.774914,31.05
47.7,282.7432127,10.49
47.7,282.0384746,26.71
47.8,282.2160915,25.85
47.8,282.3020352,29.57
47.8,282.4796521,14.27
47.9,282.0384746,23.11
48.0,281.8665873,32.76
48.0,282.0384746,22.9
48.0,282.2160915,17.13
48.1,281.1618492,28.65
48.1,282.3937084,20.35
48.2,282.834886,22.16
48.2,281.9525309,23.16
48.3,282.4796521,23.16
48.3,281.6030267,28.55
48.4,281.8665873,20.88
48.4,281.9525309,20.99
48.5,282.4796521,23.5
48.5,282.3020352,24.95
48.6,281.5113534,19.88
48.6,281.9525309,19.45
48.6,282.3937084,30.23
48.7,282.657269,21
48.7,282.4796521,24.66
48.8,281.6889704,29.65
48.8,281.6030267,19.79
48.9,282.657269,19.79
48.9,282.1301479,23.67
49.0,282.3937084,22.45
49.0,281.774914,28.44
49.1,282.2160915,17.77
49.1,281.774914,24.88
49.2,281.6030267,28.86
49.2,282.2160915,21.83
49.3,281.6889704,27.06
49.3,282.0384746,18.96
49.4,281.774914,27.19
49.4,282.0384746,18.75
49.4,282.3937084,22.12
49.5,281.4254098,35.95
49.5,282.0384746,14.03
49.6,282.7432127,14.03
49.6,281.6889704,27.06
49.7,282.3937084,20.84
49.7,281.5113534,29.56
49.8,283.4479508,13.16
49.8,282.3020352,24.71
49.9,282.0384746,31.81
49.9,281.6030267,23.16
50.0,283.8891283,11.2
50.0,283.0067733,27.86
50.0,282.7432127,29.57
50.1,281.2477929,29.57
50.1,281.6889704,11.98
50.2,276.5037023,-20.64
50.2,275.6270769,-20.64
50.3,272.0231724,-30.45
50.3,270.0006313,-30.75
50.4,268.064034,-31.96
50.4,264.7294196,-31.72
50.5,262.3516448,-30.54
50.5,259.2748614,-30.75
50.6,255.235509,-31.88
50.6,249.9585677,-32.52
50.7,245.392094,-30.82
50.7,239.8515922,-28.55
50.8,235.5486791,-28.55
50.8,228.4268137,-30.6
50.8,217.0020353,-28.83
50.9,206.281995,-30.64
50.9,194.8514869,-30.49
51.0,180.8770463,-30.65
51.0,168.3120819,-28.65
51.1,156.268509,-26.61
51.1,145.1932348,-28.53
51.2,131.4823548,-29.15
51.2,120.0575764,-28.58
51.3,104.2382117,-29.5
51.3,91.05445279,-31.58
51.4,79.36611377,-32.56
51.4,69.08152135,-32.56
51.5,53.61166088,-30.87
51.5,40.60551894,-30.64
51.6,26.01801347,-28.87
51.6,10.37053609,-28.87
51.7,-0.349504255,-29.99
51.7,-14.15205754,-22.09
51.7,-27.3358164,11.85
51.8,-38.58297792,27.52
51.8,-45.26366581,30.45
51.9,-51.32555928,31.25
51.9,-56.86606116,28.62
52.0,-61.6101517,30.41
52.0,-66.00473799,28.62
52.1,-70.13576369,30.87
52.1,-74.79391057,31.6
52.2,-79.10255319,31.6
52.2,-80.59797303,20.88
52.3,-78.13425451,-11.17
52.3,-76.37527408,-13.29
52.3,-78.8389926,16.26
52.4,-78.74731935,6.85
52.4,-76.9940685,-19.51
52.5,-78.31187143,14.52
52.5,-79.36611377,8.4
52.6,-77.52118967,-4.6
52.6,-78.74731935,22.88
52.7,-77.34357275,-14.62
52.7,-77.69307701,14.06
52.8,-79.18849685,11.25
52.8,-77.87069393,11.25
52.9,-79.10255319,4.72
52.9,-77.87069393,8.48
53.0,-76.46694733,-7.67
53.0,-78.57543201,21.73
53.1,-78.48375877,11.31
53.1,-77.60713334,-11.03
53.1,-78.48375877,23.7
53.2,-79.45205744,15.3
53.2,-76.46694733,0.96
53.3,-78.22019818,23.05
53.3,-78.3978151,8.36
53.4,-77.08001217,8.54
53.4,-76.63883467,24.14
53.5,-75.23508807,29.14
53.5,-71.98068779,29.14
53.6,-66.00473799,30.06
53.6,-59.06048951,29.43
53.7,-52.64909179,30.35
53.7,-45.44128273,28.55
53.8,-35.94737206,31.72
53.8,-21.62342719,32.6
53.8,0.349504255,29.14
53.9,26.18990081,12.13
53.9,52.47147487,-22.18
54.0,72.15830471,-32.03
54.0,92.81343322,-29.5
54.1,111.795525,-29.5
54.1,132.9777747,-29.43
54.2,159.3452924,-30.79
54.3,185.890427,-28.85
54.3,210.0577868,-27.79
54.3,230.0081772,-29.5
54.4,241.7881895,-29.5
54.4,265.1648676,-31.02
54.5,275.7989642,-31.02
54.5,293.7325432,-32.27
54.6,302.9571637,1.89
54.6,309.9930854,25.69
54.7,317.0232776,28.98
54.7,327.0385798,32.68
54.8,336.2689299,29
54.8,343.476739,33.43
54.8,347.6077647,32.76
54.9,351.2116692,32.03
54.9,351.1257255,32.27
55.0,349.0115113,32.27
55.0,345.4076067,33.06
55.1,340.314012,32.76
55.1,334.0745016,31.42
55.2,324.0534697,31.88
55.2,318.0775199,34.33
55.3,311.0473278,31.8
55.3,306.5610682,31.23
55.4,301.731034,30.89
55.4,298.9178113,31.96
55.5,293.7325432,33.06
55.5,290.300526,32.52
55.6,285.9059397,31.09
55.6,283.4479508,31.81
55.6,280.1076068,13.36
55.7,280.8982886,-16.34
55.7,283.3620071,-16.34
55.8,282.5655958,-4.75
55.8,280.634728,22.46
55.9,281.6030267,1.88
55.9,283.0984465,-11.96
56.0,280.9842323,20.99
56.0,282.3020352,-1.86
56.1,282.2160915,1.86
56.1,280.9842323,11.33
56.2,282.834886,-14.24
56.2,282.0384746,16.34
56.3,280.8123449,8.56
56.3,282.3020352,-15.27
56.4,281.6889704,20.5
56.4,280.634728,-5.68
56.4,282.0384746,-5.68
56.5,281.1618492,4.6
56.5,281.9525309,5.6
56.6,282.3937084,1.71
56.6,280.4571111,12.84
56.7,281.8665873,-17.17
56.7,280.9842323,17.17
56.8,281.9525309,-1.38
56.8,282.657269,5.12
56.9,280.634728,11.96
56.9,281.6030267,-15.15
57.0,282.834886,-15.15
57.0,281.2477929,11.22
57.0,282.3020352,5.5
57.1,283.4479508,-13.67
57.1,281.3394661,17.73
57.2,280.8123449,6.44
57.3,283.2703339,-16.14
57.3,282.0384746,16.26
57.3,282.0384746,-0.85
57.4,282.4796521,-2.83
57.4,280.7206717,17.95
57.5,282.1301479,-13.32
57.5,282.5655958,9.42
57.6,280.8982886,2.77
57.6,282.0384746,-4.08
57.7,281.0759055,-4.08
57.7,281.3394661,12.25
57.8,282.4796521,-11.93
57.8,280.1076068,27.05
57.9,281.8665873,-7.63
57.9,282.3020352,-7.74
57.9,280.8123449,20.03
58.0,282.3937084,-10.47
58.0,283.6255677,-3.85
58.1,281.5113534,21.04
58.1,281.1618492,-7.59
58.2,281.2477929,-1.72
58.2,281.4254098,17.17
58.3,281.5113534,17.17
58.3,281.6030267,21.96
58.4,281.0759055,21.96
58.4,283.0067733,-10.27
58.5,281.2477929,1.9
58.5,281.3394661,13.06
58.6,282.3937084,-7.61
58.6,280.7206717,18.98
58.6,282.3020352,-16.63
58.7,282.1301479,3.68
58.7,280.9842323,15.15
58.8,281.774914,-12.72
58.8,282.5655958,9.56
58.9,280.8123449,9.56
58.9,281.8665873,4.72
59.0,282.3937084,-10.44
59.0,281.0759055,18.87
59.1,282.2160915,-17.01
59.1,280.3711674,19.79
59.2,281.774914,-0.47
59.2,282.0384746,-10.34
59.3,281.0759055,14.24
59.3,282.0384746,-15.01
59.4,281.2477929,13.42
59.4,280.9842323,3.79
59.5,282.834886,-0.94
59.5,281.1618492,2.81
59.5,282.4796521,-11.13
59.6,281.774914,17.9
59.6,280.9842323,17.9
59.7,282.1301479,-9.42
59.7,281.2477929,3.81
59.8,282.657269,-0.95
59.8,283.6255677,-9.49
59.9,280.8123449,15.34
59.9,281.3394661,-1.88
