time

# header_update,time,theta

# header_update,time,theta,motor velocity
12:50:10.763,1057.7660333426538,22.27
12:50:12.260,304.63020047537964,22.27
12:50:12.306,291.0052641089477,22.27
12:50:12.353,277.9991221611763,22.27
12:50:12.401,266.92384798274355,22.27
12:50:12.448,260.68433759458367,22.27
12:50:12.493,259.5384220044716,22.27
12:50:12.541,258.31229232305174,22.27
12:50:12.587,262.70687861113134,22.27
12:50:12.648,264.81536329693745,22.27
12:50:12.694,267.89214665638826,22.27
12:50:12.740,267.97809032564663,22.27
12:50:12.785,269.0323326685497,22.27
12:50:12.830,268.85471575208237,22.27
12:50:12.876,272.10911602800047,22.27
12:50:12.923,275.27184305670966,22.27
12:50:12.969,277.11676715679,22.27
12:50:13.015,278.70386024909516,22.27
12:50:13.062,277.9991221611763,22.27
12:50:13.108,276.8532065710642,22.27
12:50:13.154,275.27184305670966,22.27
12:50:13.200,274.65877821599975,22.27
12:50:13.246,274.1316570445482,22.27
12:50:13.292,274.1316570445482,22.27
12:50:13.338,273.78215278956407,22.27
12:50:13.384,272.81385411591936,22.27
12:50:13.445,273.78215278956407,22.27
12:50:13.491,273.2493020401619,22.27
12:50:13.524,273.4269189566293,22.27
12:50:13.585,274.2176007138066,22.27
12:50:13.632,275.27184305670966,22.27
12:50:13.678,275.09995571819286,22.27
12:50:13.724,274.04571337528984,22.27
12:50:13.770,275.09995571819286,22.27
12:50:13.816,274.2176007138066,22.27
12:50:13.862,275.5354036424354,22.27
12:50:13.908,275.27184305670966,22.27
12:50:13.955,275.36351630391863,22.27
12:50:14.001,276.2401417303543,22.27
12:50:14.047,274.7447218852582,22.27
12:50:14.093,274.8363951324671,22.27
12:50:14.139,274.7447218852582,22.27
12:50:14.187,273.5128626258877,22.27
12:50:14.233,274.30927396101555,22.27
12:50:14.278,274.30927396101555,22.27
12:50:14.324,273.60453587309667,22.27
12:50:14.371,274.65877821599975,22.27
12:50:14.418,274.8363951324671,22.27
12:50:14.463,275.1858993874513,22.27
12:50:14.509,275.0082824709839,22.27
12:50:14.570,275.71302055890277,22.27
12:50:14.616,276.1541980610959,22.27
12:50:14.663,276.9448798182732,22.27
12:50:14.709,275.27184305670966,22.27
12:50:14.756,276.41775864682165,22.27
12:50:14.802,278.4402996633694,22.27
12:50:14.848,278.5262433326278,22.27
12:50:14.893,279.1393081733377,22.27
12:50:14.939,277.82150524470893,22.27
12:50:14.985,279.66642934478926,22.27
12:50:15.030,277.9991221611763,22.27
12:50:15.077,277.9074489139673,22.27
12:50:15.125,278.1710094996931,22.27
12:50:15.170,277.9991221611763,22.27
12:50:15.216,277.64388832824153,22.27
12:50:15.263,276.9448798182732,22.27
12:50:15.309,277.38032774251576,22.27
12:50:15.354,277.82150524470893,22.27
12:50:15.401,277.38032774251576,22.27
12:50:15.448,277.82150524470893,22.27
12:50:15.494,278.5262433326278,22.27
12:50:15.540,277.0308234875316,22.27
12:50:15.588,277.2943840732574,22.27
12:50:15.649,277.2943840732574,22.27
12:50:15.694,278.0850658304347,22.27
12:50:15.742,276.06252481388697,22.27
12:50:15.787,276.2401417303543,22.27
12:50:15.832,276.41775864682165,22.27
12:50:15.878,276.5896459853385,22.27
12:50:15.926,277.38032774251576,22.27
12:50:15.971,277.47200098972473,22.27
12:50:16.018,276.5896459853385,22.27
12:50:16.064,276.2401417303543,22.27
12:50:16.110,276.5037023160801,22.27
12:50:16.157,276.5037023160801,22.27
12:50:16.204,277.0308234875316,22.27
12:50:16.250,276.5037023160801,22.27
12:50:16.297,276.5896459853385,22.27
12:50:16.343,276.41775864682165,22.27
12:50:16.389,276.5037023160801,22.27
12:50:16.435,276.5896459853385,22.27
12:50:16.481,276.41775864682165,22.27
12:50:16.526,277.20844040399896,22.27
12:50:16.572,276.8532065710642,22.27
12:50:16.619,276.06252481388697,22.27
12:50:16.666,276.1541980610959,22.27
12:50:16.713,277.20844040399896,22.27
12:50:16.760,275.97658114462854,22.27
12:50:16.808,276.32608539961274,22.27
12:50:16.855,276.2401417303543,22.27
12:50:16.903,275.97658114462854,22.27
12:50:16.949,276.8532065710642,-0.13
12:50:16.994,276.32608539961274,-0.13
12:50:17.040,275.7989642281612,-0.13
12:50:17.103,276.2401417303543,-0.13
12:50:17.164,275.97658114462854,-0.13
12:50:17.209,276.41775864682165,-0.13
12:50:17.255,276.5037023160801,-0.13
12:50:17.301,276.06252481388697,-0.13
12:50:17.347,275.97658114462854,-0.13
12:50:17.393,276.41775864682165,-0.13
12:50:17.441,275.89063747537017,-0.13
12:50:17.489,276.1541980610959,-0.13
12:50:17.535,275.89063747537017,-0.13
12:50:17.580,276.41775864682165,-0.13
12:50:17.627,275.97658114462854,-0.13
12:50:17.674,275.7989642281612,-0.13
12:50:17.719,275.36351630391863,-0.13
12:50:17.767,276.5896459853385,-0.13
12:50:17.815,275.5354036424354,-0.13
12:50:17.862,276.32608539961274,-0.13
12:50:17.908,275.89063747537017,-0.13
12:50:17.954,275.0082824709839,-0.13
12:50:17.999,275.36351630391863,-0.13
12:50:18.045,275.27184305670966,-0.13
12:50:18.093,276.2401417303543,-0.13
12:50:18.141,275.36351630391863,-0.13
12:50:18.188,275.89063747537017,-0.13
12:50:18.234,275.7989642281612,-0.13
12:50:18.280,275.97658114462854,-0.13
12:50:18.327,275.5354036424354,-0.13
12:50:18.373,275.36351630391863,-0.13
12:50:18.420,275.44945997317706,-0.13
12:50:18.467,275.09995571819286,-0.13
12:50:18.513,275.0082824709839,-0.13
12:50:18.560,275.36351630391863,-0.13
12:50:18.607,275.0082824709839,-0.13
12:50:18.653,275.5354036424354,-0.13
12:50:18.701,274.30927396101555,-0.13
12:50:18.747,275.0082824709839,-0.13
12:50:18.793,275.0082824709839,-0.13
12:50:18.839,275.44945997317706,-0.13
12:50:18.886,276.41775864682165,-0.13
12:50:18.932,275.6270768896444,-0.49
12:50:18.980,276.5037023160801,-1.28
12:50:19.025,277.64388832824153,0.06
12:50:19.071,278.34862641616047,-0.25
12:50:19.119,278.34862641616047,-0.25
12:50:19.165,277.64388832824153,-0.25
