time

# header_update,time,motor velocity
14:34:44.102,0.86

# header_update,time,motor velocity,theta
14:34:45.688,0.86,322.38043296621487
14:34:45.733,0.86,323.6122922255853
14:34:45.780,0.86,323.6122922255853
14:34:45.826,0.86,322.6439935519406
14:34:45.872,0.86,322.73566679914956
14:34:45.918,0.86,322.73566679914956
14:34:45.964,0.86,323.4346753091179
14:34:46.011,0.86,323.7039654727942
14:34:46.057,0.86,322.9992273848754
14:34:46.104,0.86,322.5580498826822
14:34:46.150,0.86,323.2627879706011
14:34:46.213,0.86,322.9992273848754
14:34:46.259,0.86,323.2627879706011
14:34:46.306,0.86,322.208545627698
14:34:46.352,0.86,323.1711147233921
14:34:46.398,0.86,322.73566679914956
14:34:46.443,0.86,323.7039654727942
14:34:46.491,0.86,322.5580498826822
14:34:46.536,0.86,322.9992273848754
14:34:46.583,0.86,322.821610468408
14:34:46.623,0.86,323.0851710541337
14:34:46.666,0.86,323.3487316398595
14:34:46.721,0.86,322.9992273848754
14:34:46.768,0.86,323.3487316398595
14:34:46.815,0.86,322.90755413766635
14:34:46.863,0.86,322.9992273848754
14:34:46.908,0.86,322.73566679914956
14:34:46.955,0.86,322.90755413766635
14:34:46.998,0.86,323.2627879706011
14:34:47.047,0.86,322.9992273848754
14:34:47.094,0.86,323.4346753091179
14:34:47.141,0.86,323.0851710541337
14:34:47.183,0.86,322.9992273848754
14:34:47.234,0.86,323.4346753091179
14:34:47.280,0.86,322.73566679914956
14:34:47.327,0.86,322.821610468408
14:34:47.371,0.86,322.9992273848754
14:34:47.421,0.86,323.1711147233921
14:34:47.463,0.86,323.1711147233921
14:34:47.510,0.86,323.1711147233921
14:34:47.558,0.86,322.9992273848754
14:34:47.607,0.86,322.90755413766635
14:34:47.652,0.86,322.208545627698
14:34:47.701,0.86,322.90755413766635
14:34:47.747,0.86,322.821610468408
14:34:47.791,0.86,323.1711147233921
14:34:47.838,0.86,322.38043296621487
14:34:47.887,0.86,322.90755413766635
14:34:47.934,0.86,323.1711147233921
14:34:47.981,0.86,322.1168723804891
14:34:48.028,0.86,322.9992273848754
14:34:48.075,0.86,323.3487316398595
14:34:48.122,0.86,323.1711147233921
14:34:48.166,0.86,322.90755413766635
14:34:48.213,0.86,323.2627879706011
14:34:48.260,0.86,322.208545627698
14:34:48.310,0.86,322.90755413766635
14:34:48.357,0.86,322.821610468408
14:34:48.401,0.86,322.6439935519406
14:34:48.455,0.86,323.52634855632687
14:34:48.494,0.86,322.5580498826822
14:34:48.541,0.86,323.0851710541337
14:34:48.601,0.86,322.90755413766635
14:34:48.648,0.86,322.6439935519406
14:34:48.686,0.86,323.6122922255853
14:34:48.734,0.86,323.96752605852
14:34:48.783,0.86,323.1711147233921
14:34:48.822,0.86,322.9992273848754
14:34:48.872,0.86,323.3487316398595
14:34:48.919,0.86,322.9992273848754
14:34:48.967,0.86,323.96752605852
14:34:49.019,0.86,323.0851710541337
14:34:49.066,0.86,322.90755413766635
14:34:49.111,0.86,322.90755413766635
14:34:49.151,0.86,323.3487316398595
14:34:49.199,0.86,322.38043296621487
14:34:49.247,0.86,322.73566679914956
14:34:49.298,0.86,323.7039654727942
14:34:49.343,0.86,322.73566679914956
14:34:49.389,0.86,323.1711147233921
14:34:49.432,0.86,322.4721062134238
14:34:49.479,0.86,322.90755413766635
14:34:49.528,0.86,323.7039654727942
14:34:49.573,0.86,323.4346753091179
14:34:49.623,0.86,323.6122922255853
14:34:49.666,0.86,322.4721062134238
14:34:49.728,0.86,323.2627879706011
14:34:49.760,0.86,322.9992273848754
14:34:49.822,0.86,322.1168723804891
14:34:49.855,0.86,323.6122922255853
14:34:49.904,0.86,323.3487316398595
14:34:49.951,0.86,322.9992273848754
14:34:49.999,0.86,323.2627879706011
14:34:50.044,0.86,323.4346753091179
14:34:50.099,0.86,323.3487316398595
14:34:50.145,0.86,322.9992273848754
14:34:50.191,0.86,323.0851710541337
14:34:50.230,0.86,323.3487316398595
14:34:50.280,0.86,322.9992273848754
14:34:50.327,0.86,323.0851710541337
14:34:50.375,1.26,323.0851710541337
14:34:50.421,1.26,322.821610468408
14:34:50.464,1.26,323.7039654727942
14:34:50.510,1.26,322.4721062134238
14:34:50.557,1.26,322.9992273848754
14:34:50.618,1.26,322.821610468408
14:34:50.655,1.26,322.6439935519406
14:34:50.703,1.26,323.2627879706011
14:34:50.751,1.26,322.821610468408
14:34:50.799,1.26,323.1711147233921
14:34:50.839,1.26,323.3487316398595
14:34:50.884,1.26,322.6439935519406
14:34:50.931,1.26,323.3487316398595
14:34:50.984,1.26,323.0851710541337
14:34:51.033,1.26,322.90755413766635
14:34:51.079,1.26,322.9992273848754
14:34:51.127,1.48,322.821610468408
14:34:51.181,1.48,323.1711147233921
14:34:51.227,1.52,322.90755413766635
14:34:51.273,1.52,323.4346753091179
14:34:51.314,1.52,323.7039654727942
14:34:51.359,1.52,322.90755413766635
14:34:51.407,1.52,322.5580498826822
14:34:51.452,1.52,323.3487316398595
14:34:51.503,1.52,322.6439935519406
14:34:51.553,1.52,323.52634855632687
14:34:51.599,1.52,323.1711147233921
14:34:51.645,1.48,323.1711147233921
14:34:51.686,1.48,322.6439935519406
14:34:51.734,1.27,323.4346753091179
14:34:51.783,1.52,323.6122922255853
14:34:51.823,1.52,322.73566679914956
14:34:51.872,1.52,322.6439935519406
14:34:51.919,1.52,323.1711147233921
14:34:51.966,1.52,323.4346753091179
14:34:52.014,1.52,322.5580498826822
14:34:52.064,1.53,322.2944892969564
14:34:52.111,1.53,323.1711147233921
14:34:52.157,1.49,323.2627879706011
14:34:52.199,-0.02,323.2627879706011
14:34:52.247,1.08,323.3487316398595
14:34:52.295,1.08,323.3487316398595
14:34:52.341,1.52,322.90755413766635
14:34:52.388,1.52,323.1711147233921
14:34:52.438,1.52,322.5580498826822
14:34:52.479,1.52,323.6122922255853
14:34:52.528,1.52,322.6439935519406
14:34:52.575,1.52,322.73566679914956
14:34:52.625,1.52,322.5580498826822
14:34:52.667,1.52,323.4346753091179
14:34:52.722,1.49,323.3487316398595
14:34:52.760,1.51,323.4346753091179
14:34:52.815,1.51,323.0851710541337
14:34:52.865,1.51,322.821610468408
14:34:52.906,1.52,323.3487316398595
14:34:52.954,1.52,323.1711147233921
14:34:53.000,1.52,323.2627879706011
