time

# header_update,time,w

# header_update,time,w,theta
11:13:04.381,-0.0,2.5771
11:13:05.995,-0.0,6.047
11:13:06.042,-0.0,5.9902
11:13:06.089,-0.0,5.9365
11:13:06.135,-0.0,5.8844
11:13:06.183,-0.0,5.8123
11:13:06.230,-0.0,5.7616
11:13:06.275,-0.0,5.734
11:13:06.322,-0.0,5.6941
11:13:06.368,-0.0,5.6481
11:13:06.414,-0.0,5.6389
11:13:06.460,-0.0,5.6358
11:13:06.505,-0.0,5.6006
11:13:06.552,-0.0,5.6036
11:13:06.601,-0.0,5.5561
11:13:06.644,-0.0,5.5714
11:13:06.691,-0.0,5.5469
11:13:06.737,-0.0,5.5484
11:13:06.782,-0.0,5.5561
11:13:06.829,-0.0,5.5607
11:13:06.890,-0.0,5.5515
11:13:06.937,-0.0,5.6021
11:13:06.983,-0.0,5.6558
11:13:07.029,-0.0,5.7662
11:13:07.075,-0.0,5.9258
11:13:07.123,-0.0,6.0776
11:13:07.169,-0.0,6.3093
11:13:07.215,-0.0,6.5025
11:13:07.262,-0.0,6.728
11:13:07.309,-0.0,7.0456
11:13:07.355,-0.0,7.3248
11:13:07.401,-0.0,7.7435
11:13:07.448,-0.0,8.374
11:13:07.495,-0.0,8.8357
11:13:07.541,-0.0,9.1072
11:13:07.587,-0.0,9.3972
11:13:07.633,-0.0,9.4999
11:13:07.679,-0.0,9.6334
11:13:07.726,-0.0,9.6641
11:13:07.772,-0.0,9.6564
11:13:07.818,-0.0,9.6395
11:13:07.864,-0.0,9.5997
11:13:07.910,-0.0,9.4999
11:13:07.958,-0.0,9.4309
11:13:08.004,-0.0,9.4125
11:13:08.049,-0.0,9.3818
11:13:08.096,-0.0,9.2606
11:13:08.143,-0.0,9.2085
11:13:08.188,-0.0,9.118
11:13:08.249,-0.0,9.0612
11:13:08.295,-0.0,9.029
11:13:08.342,-0.0,9.0505
11:13:08.388,-0.0,9.1333
11:13:08.434,-0.0,9.1333
11:13:08.479,-0.0,9.1655
11:13:08.526,-0.0,9.2637
11:13:08.572,-0.0,9.2576
11:13:08.619,-0.0,9.253
11:13:08.664,-0.0,9.3051
11:13:08.710,-0.0,9.3128
11:13:08.755,-0.0,9.3312
11:13:08.803,-0.0,9.3036
11:13:08.850,-0.0,9.299
11:13:08.895,-0.0,9.2883
11:13:08.941,-0.0,9.2744
11:13:08.988,-0.0,9.2606
11:13:09.034,-0.0,9.279
11:13:09.080,-0.0,9.2714
11:13:09.141,-0.0,9.2883
11:13:09.188,-0.0,9.3005
11:13:09.234,-0.0,9.3389
11:13:09.280,-0.0,9.3021
11:13:09.325,-0.0,9.3174
11:13:09.372,-0.0,9.3067
11:13:09.418,-0.0,9.3711
11:13:09.464,-0.0,9.3143
11:13:09.510,-0.0,9.3557
11:13:09.556,-0.0,9.2944
11:13:09.603,-0.0,9.3573
11:13:09.650,-0.0,9.3604
