time

# header_update,time,w

# header_update,time,w,theta
11:39:05.575,0.06,3.0404
11:39:07.106,0.06,3.0327
11:39:07.168,0.06,3.002
11:39:07.214,0.06,3.0618
11:39:07.260,0.06,3.048
11:39:07.307,0.06,3.0603
11:39:07.355,0.06,3.002
11:39:07.400,0.06,3.0112
11:39:07.447,0.06,3.0327
11:39:07.493,0.06,2.9959
11:39:07.539,0.06,2.9821
11:39:07.586,0.06,3.0051
11:39:07.633,0.06,3.0158
11:39:07.681,0.06,3.0465
11:39:07.728,0.06,3.0219
11:39:07.774,0.06,3.0219
11:39:07.820,0.06,3.0572
11:39:07.866,0.06,3.0388
11:39:07.914,0.06,3.0112
11:39:07.959,0.06,3.0373
11:39:08.005,0.06,3.0097
11:39:08.051,0.06,3.0204
11:39:08.098,0.06,3.045
11:39:08.144,0.06,3.0373
11:39:08.190,0.06,3.0311
11:39:08.239,0.06,3.0296
11:39:08.286,0.06,3.0158
11:39:08.334,0.06,3.0342
11:39:08.380,0.06,3.0342
11:39:08.427,0.06,3.0557
11:39:08.474,0.06,3.002
11:39:08.520,0.06,2.9836
11:39:08.566,0.06,3.0373
11:39:08.612,0.06,3.0066
11:39:08.658,0.06,3.0281
11:39:08.705,0.06,3.0097
11:39:08.751,0.06,3.0388
11:39:08.797,0.06,3.0388
11:39:08.844,0.06,3.0035
11:39:08.890,0.06,3.0189
11:39:08.937,0.06,3.0634
11:39:08.985,0.06,3.0311
11:39:09.031,0.06,3.0649
11:39:09.078,0.06,3.0127
11:39:09.125,0.06,3.0204
11:39:09.171,0.06,3.0005
11:39:09.218,0.06,3.0373
11:39:09.265,0.06,3.0204
11:39:09.312,0.06,3.0127
11:39:09.359,0.06,3.0296
11:39:09.405,0.06,3.0373
11:39:09.451,0.06,3.0373
11:39:09.513,0.06,3.0189
11:39:09.544,0.06,3.0327
11:39:09.591,0.06,3.0311
11:39:09.638,0.06,3.025
11:39:09.700,0.06,3.0496
11:39:09.746,0.06,3.0419
11:39:09.793,0.06,3.0327
11:39:09.840,0.06,3.0956
11:39:09.886,0.06,3.0342
11:39:09.933,0.06,3.0542
