time

# header_update,time,motor velocity

# header_update,time,motor velocity,theta
13:36:15.815,-0.12,5.5545
13:36:17.446,-0.12,5.5653
13:36:17.493,-0.12,5.5822
13:36:17.540,-0.12,5.5484
13:36:17.586,-0.12,5.5469
13:36:17.631,-0.12,5.5699
13:36:17.680,-0.12,5.5576
13:36:17.726,-0.12,5.5377
13:36:17.772,-0.12,5.5653
13:36:17.818,-0.12,5.5591
13:36:17.865,-0.12,5.553
13:36:17.927,-0.12,5.5637
13:36:17.973,-0.12,5.5668
13:36:18.020,-0.12,5.5714
13:36:18.068,-0.12,5.5684
13:36:18.129,-0.12,5.5668
13:36:18.175,-0.12,5.5699
13:36:18.221,-0.12,5.5607
13:36:18.267,-0.12,5.5868
13:36:18.313,-0.12,5.5607
13:36:18.359,-0.12,5.5622
13:36:18.405,-0.12,5.5714
13:36:18.453,-0.12,5.5622
13:36:18.500,-0.12,5.5576
13:36:18.547,-0.12,5.5591
13:36:18.594,-0.12,5.5545
13:36:18.640,-0.12,5.5699
13:36:18.686,-0.12,5.5622
13:36:18.732,-0.12,5.5668
13:36:18.779,-0.12,5.5622
13:36:18.826,-0.12,5.5699
13:36:18.871,-0.12,5.5607
13:36:18.916,-0.12,5.5561
13:36:18.962,-0.12,5.5684
13:36:19.009,-0.12,5.5637
13:36:19.055,-0.12,5.5453
13:36:19.102,-0.12,5.5622
13:36:19.149,-0.12,5.5499
13:36:19.195,-0.12,5.5637
13:36:19.242,-0.12,5.5714
13:36:19.289,-0.12,5.5453
13:36:19.336,-0.12,5.5561
13:36:19.381,-0.12,5.5637
13:36:19.427,-0.12,5.5515
13:36:19.475,-0.12,5.5499
13:36:19.522,-0.12,5.5453
13:36:19.568,-0.12,5.5515
13:36:19.631,-0.12,5.5453
13:36:19.676,-0.12,5.5668
13:36:19.722,-0.12,5.5484
13:36:19.768,-0.12,5.5607
13:36:19.815,-0.12,5.5622
13:36:19.861,-0.12,5.5545
13:36:19.907,-0.12,5.5622
13:36:19.953,-0.12,5.5484
13:36:19.998,-0.12,5.5637
13:36:20.044,-0.12,5.5837
13:36:20.091,-0.12,5.5684
13:36:20.138,-0.12,5.576
13:36:20.183,-0.12,5.5576
13:36:20.230,-0.12,5.5499
13:36:20.276,-0.12,5.5499
13:36:20.322,-0.12,5.5622
13:36:20.371,-0.12,5.5637
13:36:20.417,-0.12,5.553
13:36:20.464,-0.12,5.5591
13:36:20.510,-0.12,5.5591
13:36:20.558,-0.12,5.5545
13:36:20.606,-0.12,5.5515
13:36:20.653,-0.12,5.5653
13:36:20.700,-0.12,5.553
13:36:20.748,-0.12,5.5591
13:36:20.796,-0.12,5.5699
13:36:20.842,-0.12,5.5545
13:36:20.887,-0.12,5.5806
13:36:20.934,-0.12,5.5591
13:36:20.980,-0.12,5.5591
13:36:21.025,-0.12,5.5822
13:36:21.072,-0.12,5.5637
13:36:21.118,-0.12,5.5714
13:36:21.164,-0.12,5.5653
13:36:21.211,-0.12,5.5361
13:36:21.257,-0.12,5.573
13:36:21.304,-0.12,5.5622
13:36:21.350,-0.12,5.5653
13:36:21.396,-0.12,5.5515
13:36:21.457,-0.12,5.573
13:36:21.492,-0.12,5.5622
13:36:21.541,-0.12,5.5668
13:36:21.588,-0.12,5.5469
13:36:21.643,-0.12,5.5561
13:36:21.690,-0.12,5.5776
13:36:21.736,-0.12,5.5791
13:36:21.783,-0.12,5.5591
13:36:21.828,-0.12,5.5576
13:36:21.872,-0.12,5.573
13:36:21.916,-0.12,5.5591
13:36:21.965,-0.12,5.5438
13:36:22.011,-0.12,5.5576
13:36:22.059,-0.12,5.5684
13:36:22.099,-0.12,5.5668
13:36:22.155,-0.12,5.5622
13:36:22.202,-0.12,5.5745
13:36:22.248,-0.12,5.5653
13:36:22.292,-0.12,5.5607
13:36:22.338,-0.12,5.5453
13:36:22.381,-0.12,5.5591
13:36:22.428,-0.12,5.553
13:36:22.479,-0.12,5.5515
13:36:22.523,-0.12,5.5591
13:36:22.572,-0.12,5.5377
13:36:22.619,-0.12,5.573
13:36:22.666,-0.12,5.5591
13:36:22.712,-0.12,5.5591
13:36:22.761,-0.12,5.5699
13:36:22.804,-0.12,5.5637
13:36:22.852,-0.12,5.5515
13:36:22.897,-0.12,5.5699
13:36:22.942,-0.12,5.5576
13:36:23.005,0.41,5.5637
13:36:23.045,0.44,5.5699
13:36:23.084,0.21,5.553
13:36:23.146,-0.74,5.5515
13:36:23.191,0.28,5.5499
13:36:23.237,0.22,5.5515
13:36:23.284,0.22,5.5591
13:36:23.330,0.28,5.5637
13:36:23.376,0.87,5.5561
13:36:23.423,1.72,5.5453
13:36:23.470,-0.21,5.5653
13:36:23.516,-0.17,5.5515
13:36:23.556,0.86,5.5607
13:36:23.604,0.17,5.5576
13:36:23.657,0.22,5.5499
13:36:23.704,0.14,5.5591
13:36:23.740,0.14,5.5684
13:36:23.796,0.44,5.5837
13:36:23.842,0.44,5.5361
13:36:23.884,-0.45,5.5745
13:36:23.932,0.89,5.5684
13:36:23.983,0.11,5.5499
13:36:24.030,-0.44,5.5653
13:36:24.076,0.28,5.5684
13:36:24.121,0.44,5.5714
13:36:24.169,-0.45,5.5822
13:36:24.215,0.42,5.5699
